,1999__1st_quarter,1999__2nd_quarter,1999__3rd_quarter,1999__4th_quarter,2000__1st_quarter,2000__2nd_quarter,2000__3rd_quarter,2000__4th_quarter,2001__1st_quarter,2001__2nd_quarter,2001__3rd_quarter,2001__4th_quarter,2002__1st_quarter,2002__2nd_quarter,2002__3rd_quarter,2002__4th_quarter,2003__1st_quarter,2003__2nd_quarter,2003__3rd_quarter,2003__4th_quarter,2004__1st_quarter,2004__2nd_quarter,2004__3rd_quarter,2004__4th_quarter,2005__1st_quarter,2005__2nd_quarter,2005__3rd_quarter,2005__4th_quarter,2006__1st_quarter,2006__2nd_quarter,2006__3rd_quarter,2006__4th_quarter,2007__1st_quarter,2007__2nd_quarter,2007__3rd_quarter,2007__4th_quarter,2008__1st_quarter,2008__2nd_quarter,2008__3rd_quarter,2008__4th_quarter,2009__1st_quarter,2009__2nd_quarter,2009__3rd_quarter,2009__4th_quarter,2010__1st_quarter,2010__2nd_quarter,2010__3rd_quarter,2010__4th_quarter,2011__1st_quarter,2011__2nd_quarter,2011__3rd_quarter,2011__4th_quarter,2012__1st_quarter,2012__2nd_quarter,2012__3rd_quarter,2012__4th_quarter,2013__1st_quarter,2013__2nd_quarter,2013__3rd_quarter,2013__4th_quarter,2014__1st_quarter,2014__2nd_quarter,2014__3rd_quarter,2014__4th_quarter,2015__1st_quarter,2015__2nd_quarter,2015__3rd_quarter,2015__4th_quarter,2016__1st_quarter,2016__2nd_quarter,2016__3rd_quarter,2016__4th_quarter,2017__1st_quarter,2017__2nd_quarter,2017__3rd_quarter,2017__4th_quarter,2018__1st_quarter,2018__2nd_quarter,2018__3rd_quarter,2018__4th_quarter,2019__1st_quarter,2019__2nd_quarter,2019__3rd_quarter,2019__4th_quarter,2020__1st_quarter,2020__2nd_quarter,2020__3rd_quarter,2020__4th_quarter,2021__1st_quarter,2021__2nd_quarter,2021_3rd_quarter,2021__4th_quarter,2022_1st_quarter,2022_2nd_quarter,2022_3nd_quarter_[provisional],processed_date,filename
count,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19,19
unique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ET_3.1_DEC_22.xlsx
freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
mean,11735.974210526314,11577.193684210524,11882.6,12217.037894736843,12311.429999999998,11768.166842105262,11670.113684210526,11764.105263157897,10955.879473684212,10414.49947368421,11346.55842105263,11915.693684210528,11397.736315789472,11880.292105263157,10715.121578947368,11110.977894736841,11053.937368421053,10573.822105263158,10463.805263157894,10464.003157894736,10543.276842105266,10571.445789473686,10451.047368421052,10548.553157894738,9720.453684210528,9969.183157894737,9587.798947368421,9479.276842105264,9308.291578947368,9400.537368421054,9206.693684210526,9054.037368421052,8703.824736842105,9304.111052631579,9343.893157894738,9196.167894736842,8749.245263157894,9241.76052631579,9006.534736842106,8922.384210526316,8597.956315789474,8499.077894736844,8153.584736842105,8297.29947368421,8008.315263157894,8199.429473684211,7795.744736842105,8205.043684210526,7739.013157894737,7812.688947368422,7570.526315789473,7695.957368421053,7848.198947368421,7785.757368421054,7204.725263157895,6465.408421052632,7071.62105263158,7351.789999999999,6932.6894736842105,6491.852105263158,6622.943157894736,6360.192631578947,6276.706842105263,6629.383684210526,6330.601578947369,6453.216842105264,6784.578947368421,6969.526315789473,6609.5199999999995,6541.393157894737,6590.693157894736,6750.465789473684,6684.62052631579,6905.015789473684,6912.834210526316,6686.958947368421,6455.23052631579,6935.761578947368,7060.525263157895,7488.001578947368,7050.99894736842,6941.222631578948,6984.18052631579,7200.613157894736,6698.192105263158,5359.000526315789,5687.583157894737,5931.217894736841,5018.588947368421,5445.848947368421,5948.733157894737,6138.6884210526305,6151.704210526315,5911.183684210527,5641.384736842105,2023-02-15 23:19:42.000000256,
min,-369.87,-472.96,-427.93,-923.72,-76.22,-167.68,-264.86,0.0,-628.05,0.0,-66.95,-800.3,-427.3,-744.24,-453.17,-584.31,-370.67,-322.44,-51.82,-325.61,-984.33,-870.85,-759.17,-928.76,-637.18,-866.16,-584.26,-966.51,-593.46,-649.4,-571.66,-669.1,-850.3,-548.48,-543.48,-469.8,-821.8,-824.53,-573.26,-537.94,-623.64,-818.26,-636.46,-631.62,-568.83,-713.37,-531.05,-556.41,-653.75,-615.98,-566.4,-485.46,-637.78,-580.42,-277.65,-739.55,-520.73,-598.4,-506.87,-224.48,-353.96,-323.63,-306.11,-565.7,-99.6,-384.1,-225.07,-625.66,-234.84,-492.45,-208.4,-480.21,-609.32,-582.09,-435.83,-460.87,-252.94,-930.78,-339.68,-6.65,-564.6,-281.65,-38.08,-166.82,-129.68,-422.12,-233.35,-304.92,-258.96,-142.91,-270.0,-158.78,-87.11,-204.03,-629.24,2023-02-15 23:19:42,
25%,541.155,478.045,76.81,81.36,236.5,372.765,127.23,355.53,427.56500000000005,459.66499999999996,74.25,4.825,194.58,128.07,306.685,0.0,0.0,477.04,228.87,0.0,0.0,0.0,127.295,160.735,0.0,101.46,6.225,283.33,0.0,4.77,310.37,17.22,0.0,372.825,478.87,1.48,0.0,111.89,436.695,78.17,0.0,331.63,15.605,179.73000000000002,34.285,0.0,92.005,253.41500000000002,0.0,407.295,182.35,105.33500000000001,0.0,48.36,171.835,0.0,256.815,49.625,267.26,73.325,66.6,71.235,150.005,57.995000000000005,47.96,44.175,309.845,56.985,235.625,69.36,97.65,60.945,234.54000000000002,59.145,145.89999999999998,49.79,137.36,49.385,272.75,124.53,51.625,37.82,461.47,159.905,59.195,41.754999999999995,152.74,69.44,111.13,116.285,190.515,39.955,54.76,230.67,37.61,2023-02-15 23:19:42,
50%,8937.42,9397.88,10350.26,10635.45,11813.79,11981.42,12900.9,12171.58,11638.03,10597.78,12922.38,13834.09,13091.31,15936.11,11743.78,11270.34,12247.22,11393.84,12883.1,12064.76,13357.12,14064.01,14445.68,13990.72,12468.67,13896.03,10901.45,12123.62,12385.74,12270.84,10770.99,11249.65,11315.07,11465.43,11919.8,12446.62,11402.23,11502.0,10058.33,11414.86,10437.23,11811.48,8723.09,10534.81,10749.41,10310.06,8005.57,10042.11,8276.96,7335.91,5968.44,8135.08,7595.11,7739.52,6792.28,7699.4,8289.61,8287.02,7028.12,8064.92,7780.47,7164.18,6633.57,8231.12,7611.76,8846.27,7278.66,8083.13,9459.82,7543.5,7930.83,8312.42,9470.19,9366.91,9194.89,8830.75,9651.92,10900.93,9666.29,11388.98,10860.25,11462.9,10368.97,10150.53,10030.98,7345.38,9072.45,9366.94,6593.28,6881.27,7983.33,8400.65,8111.0,6857.0,6193.0,2023-02-15 23:19:42,
75%,22666.66,22020.28,21513.025,22165.12,22502.67,21560.35,21879.21,22420.03,20676.92,18192.699999999997,22040.14,22530.07,21135.61,21037.934999999998,21781.59,20926.24,21393.190000000002,21732.01,20560.42,20801.745000000003,21344.03,22201.06,21226.985,22345.33,20717.105,20534.68,18485.095,19804.155,19528.65,18270.629999999997,16514.435,18383.14,18628.36,18944.364999999998,16843.53,18641.065,17886.765,17792.915,16150.86,17288.73,17512.655,17239.225,14783.64,16354.33,16506.655,15359.455,13922.295,15021.175,14286.605,13655.265,14297.135,14084.475,14832.380000000001,15416.689999999999,14450.36,13208.56,13695.335,15558.79,14339.15,12125.045,12318.41,11910.404999999999,13397.48,13637.55,11494.75,12087.915,12187.45,12877.275,12265.855,12028.099999999999,11852.375,12427.445,12301.57,12832.39,13188.275,12378.415,12358.365,13401.395,12780.94,13776.175,13428.68,13107.49,12508.575,13157.814999999999,12773.165,10215.22,10690.39,11502.485,9809.555,10315.265,10854.845,11805.814999999999,11455.0,10846.0,11627.5,2023-02-15 23:19:42,
max,34382.56,33060.35,34314.67,35341.42,34217.37,30802.13,30427.07,30798.43,29196.34,28340.07,28328.32,30813.65,29652.43,29527.45,26481.83,30282.55,28679.69,26025.5,24957.81,26409.93,25434.13,24345.24,23005.72,23516.04,22714.08,21989.98,22623.36,21546.85,20878.21,20982.26,21655.53,20538.24,19967.65,21147.94,21222.27,20059.85,19511.47,20956.1,21160.0,19890.43,19721.43,18510.91,19232.37,18428.82,17639.15,18356.95,18890.95,18805.34,18206.03,19301.58,19396.92,18301.28,19452.3,19235.47,18193.48,15054.59,16671.01,17391.91,17020.63,14959.22,15538.69,15134.49,15270.23,15149.07,14633.03,14102.55,16347.25,16307.98,14224.64,15273.85,15371.73,15577.77,14591.1,15296.72,15435.11,14975.92,13185.53,14170.78,15694.53,15657.73,14710.22,13930.73,14931.01,15685.33,14068.82,13024.81,11643.71,12309.96,11698.39,12299.76,13282.33,13416.65,13746.11,13861.39,13383.71,2023-02-15 23:19:42,
